"Request","Skill","Quantity"
"LAUREL_CANYON*07_2012#04","Bus Driving",2
"LAUREL_CANYON*07_2012#05","Food Service",8
"LAUREL_CANYON*07_2012#06","Stand for 3 Hours",12
"LAUREL_CANYON*07_2012#07","Sit for 2 Hours",3
"LAUREL_CANYON*07_2012#08","Art & Design",2
"LAUREL_CANYON*07_2012#09","Security Guards",8
"LAUREL_CANYON*07_2012#10","Event Planning",3
"LAUREL_CANYON*07_2012#11","Photography",2
"LAUREL_CANYON*07_2012#12","English â€“ Written",2
"LAUREL_CANYON*07_2012#13","Sweeper",6
"LAUREL_CANYON*07_2012#14","Telephone Work",3
